Longitude,Latitude,Speed,Distance,Time,Acc X,Acc Y,Acc Z,Heading,gyro_x,gyro_y,gyro_z
0.0,0.0,0.0,0.0,15-43-21,0.3114028,-0.26490974,0.10727668,258.0,0.026881555,-0.018328333,0.019550223
0.0,0.0,0.0,0.0,15-43-21,0.09316361,-0.09186649,0.07963753,258.0,-0.0036656666,-0.009775111,-0.024437778
0.0,0.0,0.0,0.0,15-43-22,0.09486127,-0.0916605,0.0788753,258.0,0.0,-0.010997,-0.03543478
0.0,0.0,0.0,0.0,15-43-22,0.09486127,-0.0916605,0.0788753,258.0,0.0,-0.010997,-0.03543478
0.0,0.0,0.0,0.0,15-43-22,0.09486127,-0.0916605,0.0788753,258.0,0.0,-0.010997,-0.03543478
0.0,0.0,0.0,0.0,15-43-22,0.030361176,-0.1931696,0.030906081,258.0,-0.0012218889,-0.008553222,-0.009775111
0.0,0.0,0.0,0.0,15-43-22,0.030361176,-0.1931696,0.030906081,258.0,-0.0012218889,-0.0048875557,-0.018328333
0.0,0.0,0.0,0.0,15-43-22,-0.011578441,-0.08371925,0.059923172,258.0,-0.007331333,-0.0048875557,-0.014662666
0.0,0.0,0.0,0.0,15-43-22,-0.011578441,-0.08371925,0.059923172,258.0,-0.007331333,-0.0048875557,-0.014662666
0.0,0.0,0.0,0.0,15-43-22,-0.11472821,-0.113957405,1.0206478,258.0,0.0024437779,-0.010997,-0.012218889
0.0,0.0,0.0,0.0,15-43-22,-0.13233757,-0.059972763,0.56003606,258.0,0.0024437779,-0.009775111,-0.0024437779
0.0,0.0,0.0,0.0,15-43-22,0.0723784,-0.08176899,-0.6913024,258.0,0.0036656666,0.0024437779,-0.012218889
0.0,0.0,0.0,0.0,15-43-22,-0.012379646,-0.17058563,0.69439113,258.0,0.0,-0.010997,-0.009775111
0.0,0.0,0.0,0.0,15-43-22,-0.012379646,-0.17058563,0.69439113,258.0,0.0,-0.010997,-0.009775111
0.0,0.0,0.0,0.0,15-43-22,-0.008418918,-0.07072735,-0.3435092,258.0,-0.0061094444,-0.0012218889,-0.013440778
0.0,0.0,0.0,0.0,15-43-22,0.007915497,-0.12308216,0.21932352,259.0,0.0036656666,-0.0061094444,-0.007331333
0.0,0.0,0.0,0.0,15-43-22,0.007915497,-0.12308216,0.21932352,259.0,0.0036656666,-0.0061094444,-0.007331333
0.0,0.0,0.0,0.0,15-43-22,0.038113832,-0.0886116,0.020409584,259.0,0.007331333,-0.0012218889,-0.0012218889
0.0,0.0,0.0,0.0,15-43-22,0.038113832,-0.0886116,0.020409584,259.0,0.007331333,-0.0048875557,-0.0036656666
0.0,0.0,0.0,0.0,15-43-22,0.033920646,-0.14417171,0.060051084,259.0,0.0024437779,-0.0061094444,-0.007331333
0.0,0.0,0.0,0.0,15-43-22,0.013942957,-0.1383543,0.10996175,259.0,0.008553222,-0.0036656666,0.0061094444
0.0,0.0,0.0,0.0,15-43-22,0.013942957,-0.1383543,0.10996175,259.0,0.010997,-0.0036656666,0.007331333
0.0,0.0,0.0,0.0,15-43-22,0.07051933,-0.09765053,0.018159747,259.0,0.007331333,0.0012218889,-0.0036656666
0.0,0.0,0.0,0.0,15-43-22,0.07051933,-0.09765053,0.018159747,259.0,0.007331333,0.0012218889,-0.0036656666
